Date,Plot,Volume,NPOC,NPOC dilution,NPOC ug,TN,TN dilution,TN ug,
,,mL,ug/mL,ug/mL,ug,ug/mL,ug/mL,ug,
22-May-18,6,1220,3.396,6.792,8286.24,1.02,2.04,2488.8,
5-Jun-18,1,65,2.899,5.798,376.87,0.626,1.252,81.38,
5-Jun-18,2,650,2.461,4.922,3199.3,0.3525,0.705,458.25,
5-Jun-18,3,440,5.453,10.906,4798.64,0.886,1.772,779.68,
5-Jun-18,4,250,5.812,11.624,2906,0.5002,1.0004,250.1,
5-Jun-18,5,1260,2.818,5.636,7101.36,0.213,0.426,536.76,
5-Jun-18,6,1450,2.644,5.288,7667.6,0.5872,1.1744,1702.88,
19-Jun-18,1,210,2.296,4.592,964.32,0.2517,0.5034,105.714,
19-Jun-18,2,1080,3.162,6.324,6829.92,0.3958,0.7916,854.928,
19-Jun-18,3,300,5.518,11.036,3310.8,0.6031,1.2062,361.86,
19-Jun-18,4,1150,5.695,11.39,13098.5,0.3134,0.6268,720.82,
19-Jun-18,5,1150,3.613,7.226,8309.9,0.2077,0.4154,477.71,
19-Jun-18,6,1575,3.695,7.39,11639.25,0.7255,1.451,2285.325,
4-Jul-18,1,8340,2.927,5.854,48822.36,0.2226,0.4452,3712.968,
4-Jul-18,2,2080,1.523,3.046,6335.68,0.1931,0.3862,803.296,
4-Jul-18,3,510,3.336,6.672,3402.72,0.2499,0.4998,254.898,
4-Jul-18,4,2430,2.825,5.65,13729.5,0.2228,0.4456,1082.808,
4-Jul-18,5,1860,1.711,3.422,6364.92,0.08798,0.17596,327.2856,
4-Jul-18,6,3950,1.18,2.36,9322,0.1694,0.3388,1338.26,
17-Jul-18,1,4360,1.527,3.054,13315.44,0.1511,0.3022,1317.592,
17-Jul-18,2,2080,1.909,3.818,7941.44,0.1838,0.3676,764.608,
17-Jul-18,3,1120,2.978,5.956,6670.72,0.2881,0.5762,645.344,
17-Jul-18,4,3300,3.381,6.762,22314.6,0.275,0.55,1815,
17-Jul-18,5,1240,4.291,8.582,10641.68,0.233,0.466,577.84,
17-Jul-18,6,3240,3.027,6.054,19614.96,0.359,0.718,2326.32,
31-Jul-18,1,60,2.754,5.508,330.48,0.9188,1.8376,110.256,
31-Jul-18,2,1030,3.596,7.192,7407.76,0.3321,0.6642,684.126,
31-Jul-18,3,340,25.71,51.42,17482.8,1.321,2.642,898.28,
31-Jul-18,4,890,9.138,18.276,16265.64,0.664,1.328,1181.92,
31-Jul-18,5,420,10.56,21.12,8870.4,0.5453,1.0906,458.052,
31-Jul-18,6,1320,10.68,21.36,28195.2,0.2273,0.4546,600.072,
14-Aug-18,1,270,3.446,6.892,1860.84,0.184,0.368,99.36,
14-Aug-18,2,1050,5.041,10.082,10586.1,0.3357,0.6714,704.97,
14-Aug-18,3,1150,22.89,45.78,52647,1.428,2.856,3284.4,
14-Aug-18,4,380,7.698,15.396,5850.48,0.4577,0.9154,347.852,
14-Aug-18,5,440,13.76,27.52,12108.8,0.6961,1.3922,612.568,
14-Aug-18,6,2680,39.68,79.36,212684.8,0.229,0.458,1227.44,
28-Aug-18,1,1090,3.008,6.016,6557.44,0.3129,0.6258,682.122,
28-Aug-18,2,2560,2.775,5.55,14208,0.1819,0.3638,931.328,
28-Aug-18,3,270,14.31,28.62,7727.4,1.368,2.736,738.72,
28-Aug-18,4,2020,7.948,15.896,32109.92,0.4829,0.9658,1950.916,
28-Aug-18,5,1030,11.65,23.3,23999,0.6386,1.2772,1315.516,
28-Aug-18,6,3940,45.14,90.28,355703.2,0.3943,0.7886,3107.084,
11-Sep-18,1,1050,2.606,5.212,5472.6,0.3854,0.7708,809.34,
11-Sep-18,2,770,2.361,4.722,3635.94,0.5399,1.0798,831.446,
11-Sep-18,3,90,15.03,30.06,2705.4,1.653,3.306,297.54,
11-Sep-18,4,1650,5.958,11.916,19661.4,0.4629,0.9258,1527.57,
11-Sep-18,5,510,11.64,23.28,11872.8,0.6862,1.3724,699.924,
11-Sep-18,6,2550,26.71,53.42,136221,0.2035,0.407,1037.85,
25-Sep-18,1,530,3.972,7.944,4210.32,0.9285,1.857,984.21,
25-Sep-18,2,2020,2.865,5.73,11574.6,0.3387,0.6774,1368.348,
25-Sep-18,3,200,13.33,26.66,5332,1.434,2.868,573.6,
25-Sep-18,4,1150,9.136,18.272,21012.8,0.832,1.664,1913.6,
25-Sep-18,5,450,9.698,19.396,8728.2,0.8936,1.7872,804.24,
25-Sep-18,6,1920,20.22,40.44,77644.8,0.2556,0.5112,981.504,
10-Oct-18,1,6740,2.871,5.742,38701.08,0.3788,0.7576,5106.224,
10-Oct-18,2,370,2.983,5.966,2207.42,2.963,5.926,2192.62,
10-Oct-18,3,1340,6.487,12.974,17385.16,0.7393,1.4786,1981.324,
10-Oct-18,4,3170,7.597,15.194,48164.98,0.7888,1.5776,5000.992,
10-Oct-18,5,2100,13.61,27.22,57162,0.8822,1.7644,3705.24,
10-Oct-18,6,4680,2.774,5.548,25964.64,0.1709,0.3418,1599.624,
23-Oct-18,1,1580,3.33,6.66,10522.8,0.4235,0.847,1338.26,
23-Oct-18,2,7900,4.063,8.126,64195.4,0.5875,1.175,9282.5,
23-Oct-18,3,1220,4.782,9.564,11668.08,0.4818,0.9636,1175.592,
23-Oct-18,4,1520,8.572,17.144,26058.88,0.7715,1.543,2345.36,
23-Oct-18,5,3720,9.112,18.224,67793.28,0.6837,1.3674,5086.728,
23-Oct-18,6,2170,3.28,6.56,14235.2,0.2297,0.4594,996.898,
7-Nov-18,1,8050,3.5,7,56350,0.2926,0.5852,4710.86,
7-Nov-18,2,3100,2.851,5.702,17676.2,0.3614,0.7228,2240.68,
7-Nov-18,3,6630,2.436,4.872,32301.36,0.2341,0.4682,3104.166,
7-Nov-18,4,3740,6.717,13.434,50243.16,0.5292,1.0584,3958.416,
7-Nov-18,5,2510,9.608,19.216,48232.16,0.6865,1.373,3446.23,
7-Nov-18,6,1730,3.265,6.53,11296.9,0.3422,0.6844,1184.012,
