Run,Date and plot,Date,Plot,Volume mL,PO4-P mg/L,PO4-P ug,NO3-N mg/L,NO3-N ug,NH4-N mg/L,NH4-N ug
2,17 JULY 18-6,7/17/18,6,3240,0.09955861,322.5698964,0.102422419,331.8486386,0.0561475,181.9179
2,31 JULY 18-1,7/31/18,1,60,0.15022074,9.0132444,1.687420215,101.2452129,0.0867425,5.20455
2,31 JULY 18-2,7/31/18,2,1030,0.04315129,44.4458287,0.153867479,158.4835035,BDL,BDL
2,31 JULY 18-3,7/31/18,3,340,0.09329113,31.7189842,0.086907243,29.54846247,0.10124875,34.424575
2,31 JULY 18-4,7/31/18,4,890,0.51321229,456.7589381,0.017497241,15.57254466,0.15980125,142.2231125
2,31 JULY 18-5,7/31/18,5,420,0.05255251,22.0720542,0.010964535,4.605104776,BDL,BDL
2,31 JULY 18-6,7/31/18,6,1320,0.03845068,50.7548976,BDL,BDL,0.809945,1069.1274
2,14 AUG 18-1,8/14/18,1,270,0.02017053,5.4460431,0.011781123,3.180903327,BDL,BDL
2,14 AUG 18-2,8/14/18,2,1050,0.02539343,26.6631015,BDL,BDL,0.3336125,350.293125
2,14 AUG 18-3,8/14/18,3,1150,0.05673083,65.2404545,0.230626775,265.220791,0.15927375,183.1648125
2,14 AUG 18-4,8/14/18,4,380,BDL,BDL,BDL,BDL,0.03056375,11.614225
2,14 AUG 18-5,8/14/18,5,440,0.04367358,19.2163752,BDL,BDL,BDL,BDL
2,14 AUG 18-6,8/14/18,6,2680,0.03061633,82.0517644,BDL,BDL,0.4127375,1106.1365
2,28 AUG 18-1,8/28/18,1,1090,0.01233618,13.4464362,0.122020537,133.0023857,0.0466525,50.851225
2,28 AUG 18-2,8/28/18,2,2560,0.01703679,43.6141824,0.015047476,38.52153968,0.04507,115.3792
2,28 AUG 18-3,8/28/18,3,270,0.22699737,61.2892899,0.641370665,173.1700796,0.1816925,49.056975
2,28 AUG 18-4,8/28/18,4,2020,0.06560976,132.5317152,BDL,BDL,0.11127125,224.767925
2,28 AUG 18-5,8/28/18,5,1030,0.04889648,50.3633744,BDL,BDL,BDL,BDL
2,28 AUG 18-6,8/28/18,6,3940,BDL,BDL,BDL,BDL,1.62124,6387.6856
2,11 SEP 18-1,9/11/18,1,1050,0.07448869,78.2131245,0.283705011,297.8902617,BDL,BDL
2,11 SEP 18-2,9/11/18,2,770,0.09642487,74.2471499,0.370263366,285.1027916,0.73504,565.9808
2,11 SEP 18-3,9/11/18,3,90,0.29959568,26.9636112,0.641370665,57.72335986,0.0814675,7.332075
2,11 SEP 18-4,9/11/18,4,1650,0.12985143,214.2548595,0.108138537,178.4285862,0.10626,175.329
2,11 SEP 18-5,9/11/18,5,510,0.08650136,44.1156936,0.012597712,6.424832959,BDL,BDL
2,11 SEP 18-6,9/11/18,6,2550,0.03270549,83.3989995,BDL,BDL,0.05060875,129.0523125
2,25 SEP 18-1,9/25/18,1,530,0.15074303,79.8938059,1.555949507,824.6532385,0.15874625,84.1355125
2,25 SEP 18-2,9/25/18,2,2020,0.06560976,132.5317152,0.288604541,582.981172,0.0751375,151.77775
2,25 SEP 18-3,9/25/18,3,200,0.15648822,31.297644,1.159087616,231.8175233,0.208595,41.719
2,25 SEP 18-4,9/25/18,4,1150,0.08284533,95.2721295,0.119570773,137.5063885,0.0783025,90.047875
2,25 SEP 18-5,9/25/18,5,450,0.05777541,25.9989345,0.215928186,97.16768381,0.30671,138.0195
2,25 SEP 18-6,9/25/18,6,1920,0.03427236,65.8029312,BDL,BDL,BDL,BDL
2,10 OCT 18-1,10/10/18,1,6740,0.01755908,118.3481992,0.328617365,2214.88104,BDL,BDL
2,10 OCT 18-2,10/10/18,2,370,0.33041079,122.2519923,0.634021371,234.5879072,5.5822375,2065.427875
2,10 OCT 18-3,10/10/18,3,1340,0.05725312,76.7191808,0.496017956,664.6640616,0.1226125,164.30075
2,10 OCT 18-4,10/10/18,4,3170,0.10112548,320.5677716,0.226543834,718.1439522,0.29062125,921.2693625
2,10 OCT 18-5,10/10/18,5,2100,0.14499784,304.495464,0.11140489,233.9502692,0.23839875,500.637375
2,10 OCT 18-6,10/10/18,6,4680,0.02852717,133.5071556,0.023213359,108.6385199,0.0139475,65.2743
2,23 OCT 18-1,10/23/18,1,1580,0.14081952,222.4948416,0.407826425,644.365752,BDL,BDL
2,23 OCT 18-2,10/23/18,2,7900,0.04158442,328.516918,BDL,BDL,0.6416725,5069.21275
2,23 OCT 18-3,10/23/18,3,1220,0.15022074,183.2693028,0.409459602,499.5407142,BDL,BDL
2,23 OCT 18-4,10/23/18,4,1520,0.05777541,87.8186232,0.142435244,216.5015703,0.10388625,157.9071
2,23 OCT 18-5,10/23/18,5,3720,0.0217374,80.863128,0.059143242,220.0128603,0.03531125,131.35785
