Date,Plot,NPOC ug,TDN ug,PO4-P ug,NO3-N ug,NH4-N ug,comments,
3/10/20,6,11376.64,1402.486,32.9878928,547.7772627,12.12,,
3/20/20,1,3869.52,293.48,14.2360064,119.5664637,18.4,,
3/20/20,2,10528.56,1113.84,106.054704,432.409351,2227.68,,
3/20/20,3,9070.88,2500.96,32.6377436,1572.167913,4870.6,,
3/20/20,4,10137.6,1584.66,51.712474,686.9158529,634.7,,
3/20/20,5,12541.9,906.3,22.482434,243.3848552,BDL,,
3/20/20,6,9000,973.6,21.30974,328.9785398,BDL,,
4/15/20,1,25153.6,2966.45,86.711506,1319.123121,BDL,,
4/15/20,2,76691.32,5465.252,159.6453632,1917.281726,240.76,,
4/15/20,3,20933.12,7439.2,55.4881632,5048.153066,34,,
4/15/20,4,15103.92,3316.6,80.5185608,1523.482679,482.04,,
4/15/20,5,23859,2743.95,123.391235,1222.887508,211.75,,
4/15/20,6,65890.44,4763.682,BDL,1227.925162,BDL,,
4/29/20,1,497.5,142.1,3.143033,82.54546771,3.5,,
4/29/20,2,1778.4,573.56,4.6495436,349.1740811,BDL,,
4/29/20,3,458.4,250.84,3.7674028,167.6622838,3.18,,
4/29/20,4,625.2,297.6,2.404112,187.6156393,4.1,,
4/29/20,5,4184.7,501.642,12.82583,209.0587223,31.32,,
4/29/20,6,5164.2,411.54,12.3097732,148.1981436,70.11,,
5/12/20,1,23472.64,2716.792,78.91914,1108.131946,BDL,,
5/12/20,2,16263,3245.928,BDL,1872.646028,55.6,,
5/12/20,3,12568.5,6507.5,36.114991,4496.082942,BDL,,
5/12/20,4,7659,3457.5,22.56834,2144.715512,257.25,,
5/12/20,5,19413.4,2730.984,37.026936,1298.826859,49.72,,
5/12/20,6,13900,550.1,21.47096,172.8874186,257.5,,
6/1/20,1,3552.12,521.424,13.0108032,272.3795289,BDL,,
6/1/20,2,4961.88,1360.26,17.9160696,637.316059,25.74,,
6/1/20,3,3794.8,2193.2,12.357952,1446.078104,2.4,,
6/1/20,4,2456.1,1246.5,7.887003,809.7524897,11.7,,
6/1/20,5,9101,1111.88,48.323251,500.4615183,BDL,,
6/1/20,6,8232.42,388.416,16.7664846,29.7694783,25.5,,
6/16/20,1,6396.3,721.464,44.85,458.860405,BDL,,
6/16/20,2,8439,1591.964,17.46,1383.326153,BDL,,
6/16/20,3,9577.2,4104.12,29.9,4344.631624,23,,
6/16/20,4,8640.64,3109.6,47.84,3144.885825,146.28,,
6/16/20,5,16240.8,1471.32,38.86,956.3593279,BDL,,
6/16/20,6,11127.4,982.36,27.88,252.6949591,112.34,,
6/30/20,1,1103.44,137.722,8.06,98.24213701,BDL,,
6/30/20,2,573.4,88.8112,2.209,52.08272296,BDL,,
6/30/20,3,4583.6,1646.12,14.98,1226.854804,370.02,,
6/30/20,4,6381.1,1088.89,62.15,805.6872038,91.85,,
6/30/20,5,8013.6,650.88,13.56,232.6583369,244.56,,
6/30/20,6,12874.2,1146.38,23.22,374.0499785,258,,
7/14/20,1,8695.08,670.474,46.48,250.8595433,19.09,,
7/14/20,2,10165.4,1367.612,38.16,851.059888,BDL,,
7/14/20,3,23839.6,5245.14,58.85,4480.769065,71.69,,
7/14/20,4,13897.22,2543.978,79.23,2069.728565,54.21,,
7/14/20,5,21406.4,1874.08,44.2,895.777682,105.4,,
7/14/20,6,19836.74,1760.55,54.45,555.7345972,292.82,,
7/28/20,1,955.76,129.064,8.84,113.8130116,BDL,,
7/28/20,2,8341.2,858.69,35.28,276.3205515,BDL,,
7/28/20,3,11502,3156,32.7,3965.790607,5.7,,
7/28/20,4,5748,853.8,45,648.7289961,105.6,,
7/28/20,5,4243.2,384.96,15.72,250.2628178,34.56,,
7/28/20,6,13557.6,1146.096,51.66,388.2873761,130.41,,
8/11/20,1,N/A,N/A,N/A,N/A,N/A,,
8/11/20,2,12513.28,1127.936,BDL,372.2533391,BDL,,
8/11/20,3,32230.44,4043.16,57.42,3328.293839,BDL,,
8/11/20,4,18878.4,1669.188,61.56,604.381732,18.24,,
