basket.id,category,date,method,weight,wt.kg.ha,wt.Mg.ha
LB05,leaves,01/02/2018,bb.sample.wt,0.262,13.53305785,0.013533058
LB06,leaves,01/02/2018,bb.sample.wt,0.145,7.489669421,0.007489669
LB07,leaves,01/02/2018,bb.sample.wt,0.195,10.07231405,0.010072314
LB08,leaves,01/02/2018,bb.sample.wt,0.111,5.733471074,0.005733471
LB09,leaves,01/02/2018,bb.sample.wt,0.268,13.84297521,0.013842975
LB10,leaves,01/02/2018,bb.sample.wt,-0.008,-0.41322314,-0.000413223
LB11,leaves,01/02/2018,bb.sample.wt,0.022,1.136363636,0.001136364
LB12,leaves,01/02/2018,bb.sample.wt,0.067,3.460743802,0.003460744
LB13,leaves,01/02/2018,bb.sample.wt,0.033,1.704545455,0.001704545
LB14,leaves,01/02/2018,bb.sample.wt,0.034,1.756198347,0.001756198
LB15,leaves,01/02/2018,bb.sample.wt,0.023,1.188016529,0.001188017
LB16,leaves,01/02/2018,bb.sample.wt,0.654,33.78099174,0.033780992
LB17,leaves,01/02/2018,bb.sample.wt,0.206,10.64049587,0.010640496
LB18,leaves,01/02/2018,bb.sample.wt,0.196,10.12396694,0.010123967
LB19,leaves,01/02/2018,bb.sample.wt,0.392,20.24793388,0.020247934
LB20,leaves,01/02/2018,bb.sample.wt,0.086,4.44214876,0.004442149
LB01,leaves,01/16/2018,bb.sample.wt,0.715,36.93181818,0.036931818
LB02,leaves,01/16/2018,bb.sample.wt,0.906,46.79752066,0.046797521
LB03,leaves,01/16/2018,bb.sample.wt,0.051,2.634297521,0.002634298
LB04,leaves,01/16/2018,bb.sample.wt,0.218,11.26033058,0.011260331
LB05,leaves,01/16/2018,bb.sample.wt,0.86,44.4214876,0.044421488
LB06,leaves,01/16/2018,bb.sample.wt,-0.099,-5.113636364,-0.005113636
LB07,leaves,01/16/2018,bb.sample.wt,0.021,1.084710744,0.001084711
LB08,leaves,01/16/2018,bb.sample.wt,-0.054,-2.789256198,-0.002789256
LB09,leaves,01/16/2018,bb.sample.wt,0.039,2.01446281,0.002014463
LB10,leaves,01/16/2018,bb.sample.wt,0.007,0.361570248,0.00036157
LB11,leaves,01/16/2018,bb.sample.wt,0.198,10.22727273,0.010227273
