date,plot,installed_resin,nh4_ugN.day_resin,no3_ugN.day_resin
2021-06-04,3,2021-03-01,0.120421053,3.203551764
2021-06-04,4,2021-03-01,1.628631579,12.13116144
2021-06-04,4,2021-03-01,0.276210526,5.42514527
2021-06-04,4,2021-03-01,0.561684211,4.170481919
2021-06-04,5,2021-03-01,0.064,0.950069356
2021-06-04,5,2021-03-01,0.320842105,3.877067366
2021-06-04,5,2021-03-01,0.171789474,7.494441778
2021-06-04,6,2021-03-01,0.790736842,4.275861911
2021-06-04,6,2021-03-01,0.753684211,7.437994756
2021-06-04,6,2021-03-01,3.248842105,32.75356774
,Blank,,,
,Blank,,,
2021-09-09,1,2021-06-04,0.88742268,4.099210846
2021-09-09,1,2021-06-04,0.257319588,1.811062153
2021-09-09,1,2021-06-04,0.848659794,3.705049054
2021-09-09,2,2021-06-04,0.089896907,1.168126114
2021-09-09,2,2021-06-04,0.166597938,3.522506912
2021-09-09,2,2021-06-04,0.057731959,3.20947496
2021-09-09,3,2021-06-04,0.315051546,7.59964039
2021-09-09,3,2021-06-04,0.333195876,6.252920932
2021-09-09,3,2021-06-04,0.296907216,6.625005357
2021-09-09,4,2021-06-04,0.080824742,3.073061954
2021-09-09,4,2021-06-04,0.083298969,3.017778788
2021-09-09,4,2021-06-04,0.494845361,16.03732332
2021-09-09,5,2021-06-04,0.343092784,7.026705763
2021-09-09,5,2021-06-04,0.230103093,0.624627977
2021-09-09,5,2021-06-04,0.760412371,6.042916699
2021-09-09,6,2021-06-04,0.113814433,1.121996979
2021-09-09,6,2021-06-04,0.268041237,4.677709688
2021-09-09,6,2021-06-04,0.233402062,7.509356519
,Blank,,,
,Blank,,,
2021-12-13,1,2021-09-09,0.183157895,3.038059359
2021-12-13,1,2021-09-09,0.248842105,0.788242342
2021-12-13,1,2021-09-09,0.147789474,3.27887555
2021-12-13,2,2021-09-09,0.238736842,1.568970632
2021-12-13,2,2021-09-09,0.305263158,4.806243994
2021-12-13,2,2021-09-09,0.087157895,1.813452214
2021-12-13,3,2021-09-09,0.157894737,8.82241295
2021-12-13,3,2021-09-09,0.018105263,8.098131681
2021-12-13,3,2021-09-09,0.382736842,3.395434985
2021-12-13,4,2021-09-09,0.216,6.91311076
2021-12-13,4,2021-09-09,0.493894737,25.63171296
2021-12-13,4,2021-09-09,0.846736842,9.463856381
2021-12-13,5,2021-09-09,0.449263158,5.334793381
2021-12-13,5,2021-09-09,0.830736842,12.08241174
2021-12-13,5,2021-09-09,0.274105263,7.387045821
2021-12-13,6,2021-09-09,0.366736842,2.24047027
2021-12-13,6,2021-09-09,0.238736842,7.355156919
2021-12-13,6,2021-09-09,0.051789474,5.080965052
,Blank,,,
,Blank,,,
2022-03-15,1,2021-12-13,0.683478261,1.138241015
2022-03-15,1,2021-12-13,0.104347826,0.317882485
2022-03-15,1,2021-12-13,0.077391304,1.874166038
2022-03-15,2,2021-12-13,0.014782609,2.906704037
2022-03-15,2,2021-12-13,0.235652174,1.519029685
2022-03-15,2,2021-12-13,-0.004347826,1.492088306
2022-03-15,3,2021-12-13,0.093043478,2.009646367
2022-03-15,3,2021-12-13,-0.033913043,5.903255637
2022-03-15,3,2021-12-13,0.129565217,4.976807373
2022-03-15,4,2021-12-13,0.16173913,2.29207967
2022-03-15,4,2021-12-13,0.196521739,4.199890204
2022-03-15,4,2021-12-13,1.139130435,21.47859506
2022-03-15,5,2021-12-13,0.444347826,10.08419664
2022-03-15,5,2021-12-13,0.623478261,7.412359551
2022-03-15,5,2021-12-13,0.093043478,3.471441736
2022-03-15,6,2021-12-13,2.002608696,1.581549152
