date,plot,volume_lysimiter.surface.chemistry,npoc_ug.mL_lysimiter.surface.chemistry,npoc_ug_lysimiter.surface.chemistry,tn_ug.mL_lysimiter.surface.chemistry,tn_ug_lysimiter.surface.chemistry,volume_m_l_lysimiter.surface.chemistry,po4_ugP.mL_lysimiter.surface.chemistry,po4_ugP_lysimiter.surface.chemistry,no3_ugN.mL_lysimiter.surface.chemistry,no3_ugN_lysimiter.surface.chemistry,nh4_ugN.mL_lysimiter.surface.chemistry,nh4_ugN_lysimiter.surface.chemistry
2019-01-29,6,940,10.042,9439.48,3.676,3455.44,940,0.03173456,29.8304864,3.857812818,3626.344049,0.032,30.08
2019-02-13,1,50,9.974,498.7,1.324,66.2,50,0,0,0.767915168,38.39575839,0,0
2019-02-13,2,680,12.488,8491.84,2.184,1485.12,680,0.13939928,94.7915104,0.975616313,663.4190927,0.281,191.08
2019-02-13,3,300,10.7,3210,2.074,622.2,300,0.10381136,31.143408,1.391018603,417.3055808,0.196,58.8
2019-02-13,4,,,,,,1,2.03682104,2.03682104,2.475273478,2.475273478,2.254,2.254
2019-02-13,5,570,24.18,13782.6,2.104,1199.28,570,0.078134,44.53638,0.397347046,226.4878161,0.105,59.85
2019-02-13,6,260,14.342,3728.92,4.366,1135.16,260,0.0691244,17.972344,3.732460144,970.4396375,0.445,115.7
2019-02-26,1,,,,,,,,,,,,
2019-02-26,2,100,14.156,1415.6,2.214,221.4,100,0.98990552,98.990552,2.029676749,202.9676749,0.63,63
2019-02-26,3,40,19.306,772.24,7.628,305.12,40,0.48041264,19.2165056,7.358537843,294.3415137,0.667,26.68
2019-02-26,4,14,47.66,667.24,6.924,96.936,14,1.2291104,17.2075456,2.993153866,41.90415413,1.26,17.64
2019-02-26,5,75,34.08,2556,3.41,255.75,75,0.49392704,37.044528,1.213511897,91.0133923,0.378,28.35
2019-02-26,6,110,17.348,1908.28,6.346,698.06,110,0.0511052,5.621572,6.042792264,664.707149,1.324,145.64
2019-03-14,1,50,9.868,493.4,1.1334,56.67,50,0.01146296,0.573148,0.433031383,21.65156917,0.259,12.95
2019-03-14,2,320,15.652,5008.64,2.31,739.2,320,0.3416648,109.332736,0.852093605,272.6699537,0.351,112.32
2019-03-14,3,350,15.486,5420.1,5.218,1826.3,350,0.2650832,92.77912,4.415037475,1545.263116,0.376,131.6
2019-03-14,4,105,36.02,3782.1,9.718,1020.39,105,0.3957224,41.550852,8.114313815,852.0029506,0.031,3.255
2019-03-14,5,840,23.98,20143.2,2.38,1999.2,840,0.16777952,140.9347968,1.111033799,933.2683914,0.078,65.52
2019-03-14,6,210,18.928,3974.88,2.442,512.82,210,0.11327144,23.7870024,0.664522087,139.5496382,0.281,59.01
2019-03-26,1,152,8.918,1355.536,0.8916,135.5232,152,0.00740864,1.12611328,0.328723319,49.96594455,1.381,209.912
2019-03-26,2,490,10.156,4976.44,1.509,739.41,490,0.29121104,142.6934096,0.6260928,306.785472,0.213,104.37
2019-03-26,3,725,10.8,7830,1.3988,1014.13,725,0.0758816,55.01416,0.499825144,362.3732292,0.131,94.975
2019-03-26,4,100,55.66,5566,4.906,490.6,100,0.43491416,43.491416,0.456820942,45.68209418,0.517,51.7
2019-03-26,5,568,25.6,14540.8,2.254,1280.272,568,0.08353976,47.45058368,1.761586725,1000.58126,0.402,228.336
2019-03-26,6,215,14.268,3067.62,1.5706,337.679,215,0.0533576,11.471884,0.729485881,156.8394644,0,0
2019-04-09,1,75,10.058,754.35,2.312,173.4,75,0.07092632,5.319474,2.40298982,180.2242365,0.951,71.325
2019-04-09,2,246,9.236,2272.056,2.994,736.524,246,0.31959128,78.61945488,1.747861979,429.974047,0.828,203.688
2019-04-09,3,296,10.922,3232.912,1.8128,536.5888,296,0.75565592,223.6741523,0.918887366,271.9906602,0.449,132.904
2019-04-09,4,167,23.38,3904.46,3.428,572.476,167,0.35022392,58.48739464,0.575768734,96.1533786,1.509,252.003
2019-04-09,5,218,17.898,3901.764,2.544,554.592,218,0.2177828,47.4766504,1.841190247,401.3794739,0.143,31.174
2019-04-09,6,50,15.068,753.4,2.08,104,50,0.3664412,18.32206,1.049729937,52.48649686,0.513,25.65
2019-04-24,1,230,8.356,1921.88,3.254,748.42,230,0.12837216,29.5255968,0.975999198,224.4798156,0.94365456,217.0405488
